Year_Month,Country,Trade.Value
2019-01,Angola,5625726157
2019-02,Angola,1952027701
2019-03,Angola,1839538718
2019-04,Angola,1843590468
2019-05,Angola,2220356535
2019-06,Angola,2225848183
2019-07,Angola,2294066182
2019-08,Angola,2189869857
2019-09,Angola,7467014406
2019-04,Antigua and Barbuda,184386642
2019-05,Antigua and Barbuda,218014114
2019-06,Antigua and Barbuda,171674351
2019-07,Antigua and Barbuda,199631782
2019-08,Antigua and Barbuda,180629364
2019-09,Antigua and Barbuda,205367030
2019-10,Antigua and Barbuda,236163536
2019-11,Antigua and Barbuda,195116808
2019-12,Antigua and Barbuda,265203992
2019-01,Argentina,8423613559
2019-02,Argentina,7995874842
2019-03,Argentina,7912625410
2019-04,Argentina,8344563215
2019-05,Argentina,9289577391
2019-06,Argentina,8342783560
2019-07,Argentina,9810595632
2019-08,Argentina,8800188312
2019-09,Argentina,13760967235
2019-10,Argentina,8247565374
2019-11,Argentina,6824105563
2019-12,Argentina,6269692863
2019-01,Armenia,2538563952
2019-02,Armenia,3247845837
2019-03,Armenia,3533676489
2019-04,Armenia,3509498527
2019-05,Armenia,3393757970
2019-06,Armenia,3626889697
2019-07,Armenia,3854263182
2019-08,Armenia,3512092123
2019-09,Armenia,5671750234
2019-10,Armenia,4718675847
2019-11,Armenia,4500883978
2019-12,Armenia,5170532098
2019-01,Aruba,202010281
2019-02,Aruba,195100398
2019-03,Aruba,180863023
2019-01,Australia,27058260062
2019-02,Australia,34579148366
2019-03,Australia,35263701723
2019-04,Australia,18434131662
2019-05,Australia,19243345761
2019-06,Australia,34058505826
2019-07,Australia,38100591520
2019-08,Australia,36334661419
2019-09,Australia,81693612692
2019-10,Australia,40599365096
2020-01,Australia,75618084622
2019-01,Azerbaijan,8161873094
2019-02,Azerbaijan,9235530974
2019-03,Azerbaijan,7864349463
2019-04,Azerbaijan,11572696360
2019-05,Azerbaijan,10417962908
2019-07,Azerbaijan,11500772616
2019-08,Azerbaijan,7811691232
2019-09,Azerbaijan,9547035896
2019-10,Azerbaijan,4427042960
2019-11,Azerbaijan,3822381028
2019-12,Azerbaijan,5275882786
2020-01,Azerbaijan,11495625543
2020-02,Azerbaijan,9207738494
2019-01,Barbados,208018888
2019-02,Barbados,207961986
2019-03,Barbados,218154566
2019-04,Barbados,201478641
2019-06,Barbados,205978079
2020-02,Barbados,216265306
2020-03,Barbados,209386037
2019-01,Belarus,5199308800
2019-02,Belarus,5806771200
2019-03,Belarus,6488173000
2019-04,Belarus,7116997800
2019-05,Belarus,6225097600
2019-06,Belarus,6149154800
2019-11,Belarus,6744917600
2019-12,Belarus,8181332200
2019-01,Belgium,37293729358
2019-02,Belgium,35023135587
2019-03,Belgium,38177578114
2019-04,Belgium,37726126659
2019-05,Belgium,37961326283
2019-06,Belgium,35417679521
2019-07,Belgium,34994372891
2019-08,Belgium,31529114348
2019-09,Belgium,70821128042
2019-10,Belgium,35314462089
2019-11,Belgium,34199281999
2019-12,Belgium,32685892853
2020-01,Belgium,73502305589
2020-02,Belgium,68856467642
2019-01,Belize,402942842
2019-02,Belize,342931044
2019-03,Belize,346031638
2019-04,Belize,392225894
2019-05,Belize,412914405
2019-08,Belize,430142233
2019-09,Belize,458727768
2019-10,Belize,434670635
2019-11,Belize,445355787
2019-12,Belize,387723936
2019-01,Bolivia (Plurinational State of),6276045708
2019-02,Bolivia (Plurinational State of),5805173626
2019-03,Bolivia (Plurinational State of),2682266879
2019-01,Bosnia Herzegovina,8587789288
2019-02,Bosnia Herzegovina,10379926451
2019-03,Bosnia Herzegovina,11899997928
2019-04,Bosnia Herzegovina,11677629155
2019-05,Bosnia Herzegovina,12023217903
2019-06,Bosnia Herzegovina,10792197769
2019-07,Bosnia Herzegovina,11661269733
2019-08,Bosnia Herzegovina,10176970839
2019-09,Bosnia Herzegovina,13569947098
2019-10,Bosnia Herzegovina,11337639197
2019-11,Bosnia Herzegovina,10634416354
2019-12,Bosnia Herzegovina,10275265850
2019-01,Botswana,1796292295
2019-02,Botswana,1845849590
2019-03,Botswana,2291704641
2019-04,Botswana,2242942870
2019-05,Botswana,2349268197
2019-06,Botswana,1966089419
2019-07,Botswana,1656768464
2019-08,Botswana,1696604208
2019-09,Botswana,2542467900
2019-10,Botswana,1533054046
2019-11,Botswana,2210174542
2019-12,Botswana,2243044479
2019-03,Brazil,26258975574
2019-01,Bulgaria,23578814459
2019-02,Bulgaria,24510185036
2019-03,Bulgaria,24658705559
2019-04,Bulgaria,22939634020
2019-05,Bulgaria,23730238508
2019-06,Bulgaria,21710996986
2019-07,Bulgaria,25636110425
2019-08,Bulgaria,21304002210
2019-09,Bulgaria,32619979850
2019-01,Cabo Verde,70962999
2019-02,Cabo Verde,59318000
2019-01,Canada,3.51229E+11
2019-02,Canada,3.39601E+11
2019-03,Canada,3.92111E+11
2019-04,Canada,3.79262E+11
2019-05,Canada,3.97909E+11
2019-06,Canada,3.75508E+11
2019-07,Canada,3.73331E+11
2019-08,Canada,3.79937E+11
2019-09,Canada,4.47824E+11
2019-10,Canada,3.92743E+11
2019-11,Canada,3.63311E+11
2020-01,Canada,5.62474E+11
2020-02,Canada,4.02644E+11
2019-01,Chile,6002357642
2019-02,Chile,5606062936
2019-03,Chile,5868682847
2019-04,Chile,5671866736
2019-05,Chile,6372170812
2019-06,Chile,5236000914
2019-07,Chile,6192663003
2019-08,Chile,6187065817
2019-09,Chile,10744608781
2019-10,Chile,5906078580
2019-11,Chile,5510741180
2019-12,Chile,5527338295
2020-01,Chile,12575050101
2019-01,"China, Hong Kong SAR",47266889465
2019-02,"China, Hong Kong SAR",36150775389
2019-04,"China, Hong Kong SAR",47456184085
2019-05,"China, Hong Kong SAR",49970661107
2019-06,"China, Hong Kong SAR",47411875491
2019-07,"China, Hong Kong SAR",48826492296
2019-08,"China, Hong Kong SAR",49613437309
2019-09,"China, Hong Kong SAR",95480744102
2019-10,"China, Hong Kong SAR",49110164936
2019-11,"China, Hong Kong SAR",50214852264
2019-12,"China, Hong Kong SAR",50573926208
2020-01,"China, Hong Kong SAR",77233577598
2020-02,"China, Hong Kong SAR",68464924515
2019-01,"China, Macao SAR",2056865441
2019-02,"China, Macao SAR",1516544153
2019-03,"China, Macao SAR",2001371486
2019-04,"China, Macao SAR",1768269646
2019-05,"China, Macao SAR",1844095270
2019-06,"China, Macao SAR",1743922217
2019-07,"China, Macao SAR",1897363821
2019-08,"China, Macao SAR",1868480687
2019-09,"China, Macao SAR",2056974876
2019-10,"China, Macao SAR",2682479748
2019-11,"China, Macao SAR",2660799078
2020-02,"China, Macao SAR",1360127890
2019-01,Comoros,34631615
2019-02,Comoros,29006168
2019-03,Comoros,33203880
2019-04,Comoros,33003541
2019-05,Comoros,40976297
2019-06,Comoros,27701250
2019-07,Comoros,31491126
2019-08,Comoros,35617432
2019-09,Comoros,33375218
2019-10,Comoros,47924542
2019-11,Comoros,34451122
2019-12,Comoros,29143835
2019-01,Congo,326620552
2019-02,Congo,302367777
2019-03,Congo,285323686
2019-04,Congo,328380700
2019-05,Congo,539591472
2019-06,Congo,395554915
2019-07,Congo,391971529
2019-08,Congo,315218460
2019-09,Congo,542668901
2019-10,Congo,349596938
2019-11,Congo,476078613
2019-12,Congo,457798445
2019-01,Croatia,2140108145
2019-02,Croatia,2267645159
2019-03,Croatia,2559585940
2019-04,Croatia,2576467610
2019-05,Croatia,2662776815
2019-06,Croatia,2127748556
2019-07,Croatia,2667363817
2019-08,Croatia,2011947460
2019-09,Croatia,3726962351
2019-10,Croatia,2384587372
2019-01,Cyprus,8198682635
2019-02,Cyprus,5914458045
2019-03,Cyprus,6268536194
2019-04,Cyprus,6799184818
2019-05,Cyprus,7719239110
2019-06,Cyprus,8194766691
2019-07,Cyprus,7785417263
2019-08,Cyprus,6295591742
2019-09,Cyprus,10201372902
2019-10,Cyprus,8296016941
2019-11,Cyprus,7895289662
2019-12,Cyprus,8403482738
2019-01,Czechia,59893058448
2019-02,Czechia,56121396048
2019-03,Czechia,59287037908
2019-04,Czechia,59230712004
2019-05,Czechia,59358129352
2019-06,Czechia,55758241496
2019-07,Czechia,57767343204
2019-08,Czechia,53430653492
2019-09,Czechia,93789633370
2019-10,Czechia,65370282376
2019-11,Czechia,62335826648
2019-12,Czechia,52752891896
2020-01,Czechia,92542720578
2020-02,Czechia,84947631138
2019-01,Denmark,8504827048
2019-02,Denmark,7884060128
2019-03,Denmark,8408855315
2019-04,Denmark,7679869538
2019-05,Denmark,8269433455
2019-06,Denmark,7939123914
2019-07,Denmark,7940934405
2019-08,Denmark,8065113186
2019-09,Denmark,17215747077
2019-10,Denmark,8680390748
2019-11,Denmark,8081974412
2019-12,Denmark,7500547186
2020-01,Denmark,17798743515
2020-02,Denmark,16215369494
2020-03,Denmark,16867046614
2019-01,Ecuador,15927542718
2019-02,Ecuador,13704032576
2019-03,Ecuador,14632562486
2019-04,Ecuador,15969660556
2019-05,Ecuador,16752562628
2019-06,Ecuador,14355603394
2019-07,Ecuador,15694286186
2019-08,Ecuador,15322629034
2019-09,Ecuador,14180090360
2019-10,Ecuador,15993398280
2019-11,Ecuador,13931245536
2020-01,Ecuador,22716247346
2020-02,Ecuador,19669730362
2019-01,Egypt,18057202184
2019-02,Egypt,18506045434
2019-03,Egypt,19802181750
2019-04,Egypt,19551627782
2019-05,Egypt,19149084553
2019-06,Egypt,17074016954
2019-07,Egypt,19716126528
2019-08,Egypt,16171250988
2019-09,Egypt,17756380145
2019-10,Egypt,18274739773
2019-11,Egypt,16789600670
2019-12,Egypt,17510947763
2020-01,Egypt,7862401583
2019-01,El Salvador,967456704
2019-02,El Salvador,900227462
2019-03,El Salvador,1037227975
2019-04,El Salvador,983019022
2019-05,El Salvador,1123575662
2019-06,El Salvador,964208165
2019-07,El Salvador,1075124984
2019-08,El Salvador,1018723885
2019-09,El Salvador,1408252372
2019-10,El Salvador,1085114564
2019-11,El Salvador,1018684762
2019-12,El Salvador,902339857
2020-01,El Salvador,1511976347
2020-02,El Salvador,1426767387
2020-03,El Salvador,1347955569
2020-04,El Salvador,887793626
2019-01,Estonia,11908807183
2019-02,Estonia,12016694061
2019-03,Estonia,13301336835
2019-04,Estonia,13160887504
2019-05,Estonia,13388227478
2019-06,Estonia,12049710724
2019-07,Estonia,12507703938
2019-08,Estonia,11394821572
2019-09,Estonia,23362245248
2019-10,Estonia,13363017021
2019-11,Estonia,12090714446
2020-01,Estonia,21395476055
2020-02,Estonia,21065002953
2020-03,Estonia,23913444813
2019-01,Eswatini,292392419
2019-02,Eswatini,283145802
2019-03,Eswatini,275009854
2019-05,Eswatini,311848986
2019-06,Eswatini,291201175
2019-07,Eswatini,330821430
2019-08,Eswatini,312562970
2019-09,Eswatini,296232368
2019-10,Eswatini,332738360
2019-11,Eswatini,363210171
2019-12,Eswatini,291557977
2020-01,Finland,22089213391
2019-01,Georgia,3339833403
2019-02,Georgia,3653837694
2019-03,Georgia,4307537068
2019-04,Georgia,4208554201
2019-05,Georgia,4390821544
2019-06,Georgia,4013010832
2019-07,Georgia,4383310731
2019-08,Georgia,4287363358
2019-09,Georgia,4239459041
2019-10,Georgia,4677770368
2019-11,Georgia,4514437781
2019-12,Georgia,5269590154
2020-01,Georgia,3616755780
2020-02,Georgia,3851572891
2020-03,Georgia,3627412106
2019-01,Germany,8.64722E+11
2019-02,Germany,8.30066E+11
2019-03,Germany,8.69374E+11
2019-04,Germany,8.31687E+11
2019-05,Germany,8.4953E+11
2019-06,Germany,8.19628E+11
2019-07,Germany,8.51855E+11
2019-08,Germany,7.68089E+11
2019-09,Germany,1.84297E+12
2019-10,Germany,8.88574E+11
2019-11,Germany,8.5368E+11
2019-12,Germany,7.49736E+11
2019-01,Ghana,1253368678
2019-02,Ghana,985157551
2019-03,Ghana,966630983
2019-04,Ghana,724244132
